Rata-Rata Absolut,Standar Deviasi,Skewness,Kurtosis,Entropi,Root Mean Square (RMS),Maksimum Absolut,Peak to Peak (P2P),Faktor Puncak,Faktor Clearence,Faktor Shape,Impuls
0.1041478587821671,0.0811244600247315,-0.0298998835945552,1.069799891867588,4.803056947519767,0.1246167666966247,0.72,1.108,5.777713698452918,0.0909317233242145,1.1965370018530082,6.91324822631191
0.1036513013330729,0.079519151256535,-0.070118408765369,1.1619599514975376,4.844845755088025,0.1238115192517589,0.654,1.042,5.28222255855009,0.0907835333846918,1.1945003840704638,6.309616874933751
0.1050387225938766,0.080220267445433,-0.0415788852134724,0.986724383233904,4.889310791679182,0.1252488603360496,0.623,0.94,4.974097156081552,0.0920581932159105,1.1924065453491262,5.931146006114116
0.1049001416084769,0.0808278919917081,0.0052346127112735,1.0347581756378583,4.852691406415179,0.125200010109319,0.598,1.055,4.7763574418073365,0.0918330529136248,1.1935161210421252,5.700659606656581
0.1047786024708237,0.0820375404021469,-0.0601228983848768,1.1106577575944478,4.889992688670255,0.1256207958687765,0.623,1.011,4.959369948991453,0.0914791180612397,1.1989165049586952,5.945870486042015
0.1052314566140925,0.0817314290273876,-0.0540965775799048,1.0954564044837602,4.905036811341094,0.1259909836664222,0.564,0.996,4.476510807259545,0.0919933977334928,1.1972749187389815,5.3596141129958434
0.1050312515259534,0.0813151733235644,-0.0210532277305861,0.888435308661196,4.806630348443796,0.1254803536662564,0.667,1.106,5.315573159556422,0.0918444595297904,1.1946954058264267,6.350490833056321
0.1047746960300795,0.0802297636605772,-0.0141418535648144,0.9008079263064904,4.889594930397977,0.1250769472623222,0.603,0.984,4.821032278117054,0.0915547959158776,1.1937705572194084,5.755206389020549
0.1051722252063089,0.0808093174677096,-0.0206607843316601,0.9392129905317476,4.834647321619829,0.1253863937657868,0.696,1.109,5.550841515548171,0.0922060596199414,1.1922006358601354,6.617716784395367
0.1043830753454758,0.0812502449626825,0.0129304094956621,0.9227744016197978,4.836630154716709,0.1248281242295262,0.625,1.104,5.00688449704482,0.0912223828321841,1.195865554031471,5.987560703030087
0.1046830899946286,0.0810410678626842,-0.0669239404723215,0.6843841238388806,4.904668452346676,0.1251377000227772,0.557,0.845,4.451096671096052,0.0916252816303524,1.195395550792378,5.320821156774986
0.1041566971043508,0.0808551881887012,-0.0667465776666087,0.7333232876896334,4.900905713685049,0.1248131344106548,0.557,0.913,4.462671357706495,0.0908625949504943,1.1983207789856187,5.347711817723656
0.1039223594902094,0.0799335032577367,-0.05274085738387,0.7473983802065889,4.890021443487307,0.1241385115006599,0.552,0.906,4.446645874250437,0.0908805790177967,1.194531303076842,5.311657690489638
0.1042470335465599,0.079994518849682,-0.0285468963459577,1.0723551410904046,4.8655217844460585,0.1244510797209613,0.623,1.043,5.005983085055291,0.0912788604329672,1.1938093151147335,5.976189238245799
0.1043275550563992,0.0800604730415531,-0.0872351535608942,0.8292178847080027,4.892090229643101,0.1246746018070985,0.688,0.971,5.518365328846212,0.0912339275677281,1.1950304187584937,6.59461442979344
0.1072178329019971,0.0858105077319945,-0.0021936764309406,0.7535821632196495,4.960590190705528,0.1285468064910817,0.588,0.966,4.574209317605987,0.093528037991783,1.1989312133232577,5.484162327151896
